smiles,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
BrCc1cc(Br)c2cc(NBr)c(Br)cc2c1Br,551.69,17,10,0.09,2,0,1,92.25,12.03,3.62,6.09,6.4,5.56,5.85,5.5,-7.4,2.19E-05,3.98E-08,Poorly soluble,-6.12,4.15E-04,7.53E-07,Poorly soluble,-8.55,1.55E-06,2.82E-09,Poorly soluble,Low,No,No,Yes,No,Yes,No,No,-5.34,2,2,0,1,2,0.17,0,2,2,2.69
Brc1[nH]c(Br)c(Br)c1Br,382.67,9,5,0,0,0,1,51.59,15.79,2.23,4.14,4.06,3.22,4.29,3.59,-5.23,2.24E-03,5.86E-06,Moderately soluble,-4.18,2.53E-02,6.62E-05,Moderately soluble,-4.95,4.27E-03,1.12E-05,Moderately soluble,High,Yes,No,Yes,No,Yes,No,No,-5.69,0,1,0,0,2,0.55,0,0,2,2.33
Brc1c(Br)c(-c2ccc(Br)n2Br)n(Br)c1Br,605.54,16,10,0,1,0,0,87.31,9.86,3.62,6.78,6.32,4.46,4.59,5.15,-8.26,3.31E-06,5.47E-09,Poorly soluble,-6.79,9.73E-05,1.61E-07,Poorly soluble,-6.49,1.97E-04,3.26E-07,Poorly soluble,Low,No,No,Yes,No,Yes,No,No,-5.18,2,3,0,1,2,0.17,0,0,2,3.14
Brc1c2c(c(Br)c3[nH]ccc13)OCO2,318.95,14,9,0.11,0,2,1,59.76,34.25,2.42,3.24,3.42,2.43,3.81,3.07,-4.33,1.48E-02,4.63E-05,Moderately soluble,-3.63,7.43E-02,2.33E-04,Soluble,-4.72,6.08E-03,1.91E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,No,Yes,-5.95,0,1,0,0,0,0.55,0,0,0,2.35
Brc1cc(Br)c(Oc2c(Br)cc(Br)c(Br)c2Br)cc1Br,722.48,20,12,0,2,1,0,106.86,9.23,4.31,8.02,8.82,7.75,7.74,7.33,-9.68,1.50E-07,2.07E-10,Poorly soluble,-8.07,6.19E-06,8.56E-09,Poorly soluble,-10.14,5.22E-08,7.23E-11,Insoluble,Low,No,Yes,No,No,Yes,No,No,-5.01,2,2,0,1,3,0.17,0,2,2,2.48
Brc1cc(Br)c(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,643.58,19,12,0,2,1,0,99.16,9.23,4.07,7.6,8.05,7.15,7.05,6.79,-8.95,7.16E-07,1.11E-09,Poorly soluble,-7.63,1.50E-05,2.34E-08,Poorly soluble,-9.4,2.53E-07,3.94E-10,Poorly soluble,Low,No,Yes,No,No,Yes,No,No,-4.83,2,2,0,1,3,0.17,0,0,2,2.08
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,643.58,19,12,0,2,1,0,99.16,9.23,4.19,7.4,8.05,7.15,7.05,6.77,-8.83,9.57E-07,1.49E-09,Poorly soluble,-7.42,2.42E-05,3.77E-08,Poorly soluble,-9.4,2.53E-07,3.94E-10,Poorly soluble,Low,No,Yes,No,No,Yes,No,No,-4.97,2,2,0,1,3,0.17,0,1,2,2.48
Brc1cc(Br)c(Oc2ccccc2Br)c(Br)c1,485.79,17,12,0,2,1,0,83.76,9.23,3.59,6.22,6.53,5.93,5.7,5.6,-7.16,3.35E-05,6.90E-08,Poorly soluble,-6.2,3.07E-04,6.32E-07,Poorly soluble,-7.9,6.12E-06,1.26E-08,Poorly soluble,Low,No,No,No,No,Yes,No,No,-4.85,1,2,0,1,2,0.55,0,0,2,2.08
Brc1cc(Br)c2c(Br)c[nH]c2c1,353.84,12,9,0,0,0,1,61.4,15.79,2.41,4.12,4.46,3.7,4.52,3.84,-5.18,2.31E-03,6.54E-06,Moderately soluble,-4.16,2.46E-02,6.95E-05,Moderately soluble,-5.8,5.65E-04,1.60E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.53,0,1,0,0,1,0.55,0,0,2,1.65
Brc1cc(Br)c2oc3c(Br)c(Br)[nH]c3c2c1,472.75,16,12,0,0,1,1,78.87,28.93,3.06,5.64,5.96,4.32,5.62,4.92,-6.88,6.24E-05,1.32E-07,Poorly soluble,-6.01,4.61E-04,9.74E-07,Poorly soluble,-7.43,1.74E-05,3.69E-08,Poorly soluble,High,No,Yes,Yes,No,Yes,No,No,-5.18,1,2,0,1,1,0.55,0,0,2,2.78
Brc1cc(Br)cc(-c2cc(-c3cc(Br)cc(Br)c3)cc(-c3cc(Br)cc(Br)c3)c2)c1,779.78,30,24,0,3,0,0,148.95,0,5.8,10.95,11.26,9.65,10.65,9.66,-11.97,8.41E-10,1.08E-12,Insoluble,-10.91,9.51E-09,1.22E-11,Insoluble,-14.49,2.51E-12,3.21E-15,Insoluble,Low,No,Yes,No,No,No,No,No,-3.28,2,3,0,1,3,0.17,0,0,2,2.7
